rank,name,developer,data_safety
200,Farm Heroes Saga,King,https://king.com/privacyPolicy
201,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
202,Pokémon GO,"Niantic, Inc.",https://nianticlabs.com/privacy/pokemongo/en
203,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
204,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
205,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
206,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
207,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
208,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
209,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
210,Hay Day,Supercell,https://supercell.com/en/privacy-policy/
211,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
212,Candy Crush Saga,King,https://king.com/privacyPolicy
213,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
214,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
215,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
216,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
217,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
218,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
219,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
220,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
221,Google Play Games,Google LLC,http://www.google.com/policies/privacy
222,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
223,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
224,Township,Playrix,https://www.playrix.com/privacy/index.html
225,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
226,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
227,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
228,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
